StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,Caucasian,Some College,19.833723,7,1,Moderate,0,0,1,0,2.9291956,2
1002,18,0,Caucasian,High School,15.408756,0,0,Low,0,0,0,0,3.0429149,1
1003,15,0,Asian,Bachelor's,4.21057,26,0,Moderate,0,0,0,0,0.112602256,4
1004,17,1,Caucasian,Bachelor's,10.02883,14,0,High,1,0,0,0,2.054218,3
1005,17,1,Caucasian,Some College,4.6724954,17,1,High,0,0,0,0,1.2880611,4
1006,18,0,Caucasian,High School,8.191218,0,0,Low,1,0,0,0,3.0841837,1
1007,15,0,African American,High School,15.601681,10,0,High,0,1,0,0,2.7482374,2
1008,15,1,African American,Higher,15.424497,22,1,Low,1,0,0,0,1.3601427,4
1009,17,0,Caucasian,None,4.5620074,1,0,Moderate,0,1,0,0,2.896819,2
1010,16,1,Caucasian,High School,18.444466,0,0,High,1,0,0,0,3.5734742,0
1011,17,0,Caucasian,High School,11.851363,11,0,Low,0,0,0,0,2.1471717,3
1012,17,0,Caucasian,High School,7.598486,15,0,Moderate,0,0,0,0,1.5595945,4
1013,17,0,African American,High School,10.038712,21,0,High,1,0,0,0,1.5200778,4
1014,17,0,African American,Some College,0.0,21,0,Very High,0,1,0,0,1.751581,4
1015,18,1,Caucasian,High School,11.19781,9,1,Moderate,0,0,0,0,2.3967881,3
1016,15,0,Caucasian,Some College,9.728101,17,1,None,0,1,0,0,1.3415207,4
1017,18,0,Other,High School,10.098656,14,0,Moderate,1,1,0,0,2.2321754,3
1018,18,1,Caucasian,None,3.5282383,16,1,Moderate,0,0,0,0,1.3844042,4
1019,18,0,African American,Bachelor's,16.254658,29,0,Moderate,1,0,0,0,0.46955332,4
1020,17,0,Caucasian,High School,10.835206,9,0,Moderate,0,0,1,0,2.3957841,3
1021,16,1,Caucasian,Bachelor's,2.6215973,2,0,High,0,0,0,0,2.7784114,2
1022,15,0,Caucasian,Some College,15.323142,25,0,Low,1,0,0,0,0.34689403,4
1023,16,1,African American,None,18.64888,29,1,Low,0,0,0,0,0.31254622,4
1024,18,1,Other,Higher,18.946138,20,0,Moderate,1,0,0,0,1.7701318,4
1025,18,1,Caucasian,High School,7.380355,15,0,Moderate,0,0,0,0,1.5051556,4
1026,16,1,Caucasian,Bachelor's,2.7103374,5,0,Very High,0,0,1,0,2.9778519,2
1027,16,0,Caucasian,High School,10.367992,2,0,Moderate,0,1,0,0,2.9487176,2
1028,16,1,Caucasian,Bachelor's,2.2521846,8,0,High,0,0,1,0,2.1452048,3
1029,18,0,Caucasian,None,18.679749,10,0,High,1,0,0,0,2.854804,2
1030,18,0,Caucasian,Some College,3.6715925,20,0,High,1,0,0,0,1.5194417,4
1031,15,0,Asian,Some College,5.0553174,12,1,None,0,1,0,0,1.7271203,4
1032,15,0,Caucasian,Bachelor's,8.1327305,17,0,Very High,0,0,0,0,1.8475355,4
1033,18,0,Caucasian,Bachelor's,7.6632895,25,0,Low,0,1,0,0,0.38461697,4
1034,16,0,Other,Bachelor's,15.893258,21,0,None,1,1,0,0,0.9494061,4
1035,16,0,Caucasian,Bachelor's,9.126336,27,1,Moderate,1,1,0,0,1.1409594,4
1036,15,0,Other,High School,3.4153652,23,0,Low,0,0,0,0,0.26147225,4
1037,18,0,Caucasian,High School,5.3441978,26,1,Low,0,0,0,0,0.21828486,4
1038,15,0,Asian,High School,10.182268,21,1,Low,0,1,0,0,1.0677636,4
1039,15,1,African American,High School,2.9490783,3,1,Low,1,1,0,0,3.0189059,1
1040,17,1,Asian,High School,12.233113,21,1,High,1,1,0,0,1.5268679,4
1041,17,1,Other,Some College,11.314946,23,1,Low,0,0,0,0,1.0582874,4
1042,17,0,Caucasian,High School,0.0,7,0,Moderate,0,1,0,0,2.625128,2
1043,16,1,Other,Some College,18.754093,12,1,Very High,0,0,0,0,2.808755,2
1044,18,1,Caucasian,High School,18.24509,9,0,Moderate,0,1,0,0,2.8888917,2
1045,18,1,Caucasian,High School,18.921513,1,1,High,1,1,0,0,4.0,0
1046,18,0,Caucasian,Some College,4.894312,7,0,Very High,0,0,1,0,2.5153003,2
1047,18,0,African American,Some College,2.6313062,5,0,Low,1,0,0,0,2.5637655,2
1048,17,0,Caucasian,Some College,6.045534,15,0,Moderate,0,0,0,0,1.7036119,4
1049,16,0,African American,Some College,17.901703,17,0,High,0,0,1,0,2.0998852,3
1050,16,1,African American,High School,19.441069,16,0,Very High,1,0,0,0,2.461047,3
1051,17,1,Asian,Some College,0.0,5,0,High,0,1,0,0,2.9354773,2
1052,16,1,Asian,None,2.2003543,12,1,Low,1,0,1,0,1.9863781,4
1053,17,1,Caucasian,High School,18.94856,22,0,Very High,0,0,1,0,1.5715442,4
1054,18,0,Caucasian,Some College,8.46716,13,0,Low,0,1,0,0,1.6643107,4
1055,17,0,Caucasian,None,0.18620582,29,1,Moderate,1,1,0,0,0.75625914,4
1056,18,0,Caucasian,High School,8.847875,25,0,Moderate,0,1,0,0,0.80276954,4
1057,18,1,Caucasian,Higher,0.9213834,0,0,Moderate,0,1,1,0,1.3423872,4
1058,15,0,Caucasian,Higher,10.877559,29,0,High,1,0,0,0,0.2865713,4
